area,region,fuelType,fuel,consumption
Ανατολική Μακεδονία και Θράκη,Βόρεια Ελλάς,Βενζίνη,Σούπερ (LRP),10
Ανατολική Μακεδονία και Θράκη,Βόρεια Ελλάς,Βενζίνη,Αμόλυβδη (95 RON),99112
Ανατολική Μακεδονία και Θράκη,Βόρεια Ελλάς,Βενζίνη,Αμόλυβδη (98/100 RON),2713
Ανατολική Μακεδονία και Θράκη,Βόρεια Ελλάς,Πετρέλαιο(diesel),Θέρμανσης,100061
Ανατολική Μακεδονία και Θράκη,Βόρεια Ελλάς,Πετρέλαιο(diesel),Κίνησης (BIO),185926
Ανατολική Μακεδονία και Θράκη,Βόρεια Ελλάς,Μαζούτ,Χαμηλού Θείου,7096
Ανατολική Μακεδονία και Θράκη,Βόρεια Ελλάς,Μαζούτ,Υψηλού Θείου,92
Ανατολική Μακεδονία και Θράκη,Βόρεια Ελλάς,Υγραέριο,Υγραέριο (LPG),26000
Κεντρική Μακεδονία,Βόρεια Ελλάς,Βενζίνη,Σούπερ (LRP),8
Κεντρική Μακεδονία,Βόρεια Ελλάς,Βενζίνη,Αμόλυβδη (95 RON),373198
Κεντρική Μακεδονία,Βόρεια Ελλάς,Βενζίνη,Αμόλυβδη (98/100 RON),14766
Κεντρική Μακεδονία,Βόρεια Ελλάς,Πετρέλαιο(diesel),Θέρμανσης,278142
Κεντρική Μακεδονία,Βόρεια Ελλάς,Πετρέλαιο(diesel),Κίνησης (BIO),528485
Κεντρική Μακεδονία,Βόρεια Ελλάς,Μαζούτ,Χαμηλού Θείου,42481
Κεντρική Μακεδονία,Βόρεια Ελλάς,Μαζούτ,Υψηλού Θείου,409
Κεντρική Μακεδονία,Βόρεια Ελλάς,Υγραέριο,Υγραέριο (LPG),101988
Δυτική Μακεδονία,Βόρεια Ελλάς,Βενζίνη,Αμόλυβδη (95 RON),44634
Δυτική Μακεδονία,Βόρεια Ελλάς,Βενζίνη,Αμόλυβδη (98/100 RON),1271
Δυτική Μακεδονία,Βόρεια Ελλάς,Πετρέλαιο(diesel),Θέρμανσης,46416
Δυτική Μακεδονία,Βόρεια Ελλάς,Πετρέλαιο(diesel),Κίνησης (BIO),106608
Δυτική Μακεδονία,Βόρεια Ελλάς,Μαζούτ,Χαμηλού Θείου,1528
Δυτική Μακεδονία,Βόρεια Ελλάς,Υγραέριο,Υγραέριο (LPG),16322
Θεσσαλία,Βόρεια Ελλάς,Βενζίνη,Σούπερ (LRP),44
Θεσσαλία,Βόρεια Ελλάς,Βενζίνη,Αμόλυβδη (95 RON),130154
Θεσσαλία,Βόρεια Ελλάς,Βενζίνη,Αμόλυβδη (98/100 RON),6828
Θεσσαλία,Βόρεια Ελλάς,Πετρέλαιο(diesel),Θέρμανσης,97552
Θεσσαλία,Βόρεια Ελλάς,Πετρέλαιο(diesel),Κίνησης (BIO),203773
Θεσσαλία,Βόρεια Ελλάς,Μαζούτ,Χαμηλού Θείου,12796
Θεσσαλία,Βόρεια Ελλάς,Μαζούτ,Υψηλού Θείου,604
Θεσσαλία,Βόρεια Ελλάς,Υγραέριο,Υγραέριο (LPG),45588
Ήπειρος,Κεντρική Ελλάς,Βενζίνη,Σούπερ (LRP),21
Ήπειρος,Κεντρική Ελλάς,Βενζίνη,Αμόλυβδη (95 RON),71382
Ήπειρος,Κεντρική Ελλάς,Βενζίνη,Αμόλυβδη (98/100 RON),2518
Ήπειρος,Κεντρική Ελλάς,Πετρέλαιο(diesel),Θέρμανσης,56040
Ήπειρος,Κεντρική Ελλάς,Πετρέλαιο(diesel),Κίνησης (BIO),115466
Ήπειρος,Κεντρική Ελλάς,Μαζούτ,Χαμηλού Θείου,4239
Ήπειρος,Κεντρική Ελλάς,Μαζούτ,Υψηλού Θείου,427
Ήπειρος,Κεντρική Ελλάς,Υγραέριο,Υγραέριο (LPG),27298
Ιόνια Νησιά,Κεντρική Ελλάς,Βενζίνη,Σούπερ (LRP),12
Ιόνια Νησιά,Κεντρική Ελλάς,Βενζίνη,Αμόλυβδη (95 RON),60427
Ιόνια Νησιά,Κεντρική Ελλάς,Βενζίνη,Αμόλυβδη (98/100 RON),1853
Ιόνια Νησιά,Κεντρική Ελλάς,Πετρέλαιο(diesel),Θέρμανσης,17947
Ιόνια Νησιά,Κεντρική Ελλάς,Πετρέλαιο(diesel),Κίνησης (BIO),51157
Ιόνια Νησιά,Κεντρική Ελλάς,Μαζούτ,Χαμηλού Θείου,218
Ιόνια Νησιά,Κεντρική Ελλάς,Μαζούτ,Υψηλού Θείου,132
Ιόνια Νησιά,Κεντρική Ελλάς,Υγραέριο,Υγραέριο (LPG),9349
Δυτική Ελλάδα,Κεντρική Ελλάς,Βενζίνη,Σούπερ (LRP),341
Δυτική Ελλάδα,Κεντρική Ελλάς,Βενζίνη,Αμόλυβδη (95 RON),142875
Δυτική Ελλάδα,Κεντρική Ελλάς,Βενζίνη,Αμόλυβδη (98/100 RON),6206
Δυτική Ελλάδα,Κεντρική Ελλάς,Πετρέλαιο(diesel),Θέρμανσης,51715
Δυτική Ελλάδα,Κεντρική Ελλάς,Πετρέλαιο(diesel),Κίνησης (BIO),207637
Δυτική Ελλάδα,Κεντρική Ελλάς,Μαζούτ,Χαμηλού Θείου,34615
Δυτική Ελλάδα,Κεντρική Ελλάς,Μαζούτ,Υψηλού Θείου,819
Δυτική Ελλάδα,Κεντρική Ελλάς,Υγραέριο,Υγραέριο (LPG),36650
Στερεά Ελλάδα και Εύβοια,Κεντρική Ελλάς,Βενζίνη,Σούπερ (LRP),187
Στερεά Ελλάδα και Εύβοια,Κεντρική Ελλάς,Βενζίνη,Αμόλυβδη (95 RON),113815
Στερεά Ελλάδα και Εύβοια,Κεντρική Ελλάς,Βενζίνη,Αμόλυβδη (98/100 RON),5003
Στερεά Ελλάδα και Εύβοια,Κεντρική Ελλάς,Πετρέλαιο(diesel),Θέρμανσης,76960
Στερεά Ελλάδα και Εύβοια,Κεντρική Ελλάς,Πετρέλαιο(diesel),Κίνησης (BIO),188916
Στερεά Ελλάδα και Εύβοια,Κεντρική Ελλάς,Μαζούτ,Χαμηλού Θείου,61887
Στερεά Ελλάδα και Εύβοια,Κεντρική Ελλάς,Μαζούτ,Υψηλού Θείου,352
Στερεά Ελλάδα και Εύβοια,Κεντρική Ελλάς,Υγραέριο,Υγραέριο (LPG),41602
Πελοπόννησος,Κεντρική Ελλάς,Βενζίνη,Σούπερ (LRP),567
Πελοπόννησος,Κεντρική Ελλάς,Βενζίνη,Αμόλυβδη (95 RON),142582
Πελοπόννησος,Κεντρική Ελλάς,Βενζίνη,Αμόλυβδη (98/100 RON),7459
Πελοπόννησος,Κεντρική Ελλάς,Πετρέλαιο(diesel),Θέρμανσης,57032
Πελοπόννησος,Κεντρική Ελλάς,Πετρέλαιο(diesel),Κίνησης (BIO),177809
Πελοπόννησος,Κεντρική Ελλάς,Μαζούτ,Χαμηλού Θείου,15502
Πελοπόννησος,Κεντρική Ελλάς,Μαζούτ,Υψηλού Θείου,1027
Πελοπόννησος,Κεντρική Ελλάς,Υγραέριο,Υγραέριο (LPG),29838
Αττική,Κεντρική Ελλάς,Βενζίνη,Σούπερ (LRP),519
Αττική,Κεντρική Ελλάς,Βενζίνη,Αμόλυβδη (95 RON),836137
Αττική,Κεντρική Ελλάς,Βενζίνη,Αμόλυβδη (98/100 RON),60750
Αττική,Κεντρική Ελλάς,Πετρέλαιο(diesel),Θέρμανσης,340707
Αττική,Κεντρική Ελλάς,Πετρέλαιο(diesel),Κίνησης (BIO),592923
Αττική,Κεντρική Ελλάς,Μαζούτ,Χαμηλού Θείου,97412
Αττική,Κεντρική Ελλάς,Μαζούτ,Υψηλού Θείου,57214
Αττική,Κεντρική Ελλάς,Υγραέριο,Υγραέριο (LPG),121311
Βόρειο Αιγαίο,Νήσοι Αιγαίου και Κρήτη,Βενζίνη,Σούπερ (LRP),24
Βόρειο Αιγαίο,Νήσοι Αιγαίου και Κρήτη,Βενζίνη,Αμόλυβδη (95 RON),41709
Βόρειο Αιγαίο,Νήσοι Αιγαίου και Κρήτη,Βενζίνη,Αμόλυβδη (98/100 RON),1222
Βόρειο Αιγαίο,Νήσοι Αιγαίου και Κρήτη,Πετρέλαιο(diesel),Θέρμανσης,21205
Βόρειο Αιγαίο,Νήσοι Αιγαίου και Κρήτη,Πετρέλαιο(diesel),Κίνησης (BIO),29760
Βόρειο Αιγαίο,Νήσοι Αιγαίου και Κρήτη,Μαζούτ,Χαμηλού Θείου,368
Βόρειο Αιγαίο,Νήσοι Αιγαίου και Κρήτη,Υγραέριο,Υγραέριο (LPG),3764
Νότιο Αιγαίο,Νήσοι Αιγαίου και Κρήτη,Βενζίνη,Σούπερ (LRP),26
Νότιο Αιγαίο,Νήσοι Αιγαίου και Κρήτη,Βενζίνη,Αμόλυβδη (95 RON),87336
Νότιο Αιγαίο,Νήσοι Αιγαίου και Κρήτη,Βενζίνη,Αμόλυβδη (98/100 RON),2653
Νότιο Αιγαίο,Νήσοι Αιγαίου και Κρήτη,Πετρέλαιο(diesel),Θέρμανσης,16473
Νότιο Αιγαίο,Νήσοι Αιγαίου και Κρήτη,Πετρέλαιο(diesel),Κίνησης (BIO),79067
Νότιο Αιγαίο,Νήσοι Αιγαίου και Κρήτη,Μαζούτ,Χαμηλού Θείου,9944
